positionlabel,position
Ministry of Agriculture and Forestry,Q114554868
Ministry of Defense and Combatants of the Liberty of the Homeland,Q55095013
Ministry of Economy and Finance,Q114553879
Ministry of Fisheries,Q114554869
"Ministry of Infrastructures, Housing and Human Development",Q114554872
Ministry of National Education and Higher Education,Q114554874
Ministry of Natural Resources and Energy,Q114554875
Ministry of Public Administration and Modernization of the State,Q114554876
Ministry of Public Health,Q112061405
Ministry of Territorial Administration and Electoral Management,Q114554878
"Ministry of Women, Family and Social Protection",Q114554880
Ministry of the Interior,Q114554733
Ministry of the Presidency of the Council of Ministers and Parliamentary Matters,Q114554882
