item,itemLabel,startDate,endDate
,José Pereira Baptista,1999,2000
Q16728590,Mamadú Iaia Djaló,2000,2001
Q142540,Faustino Imbali,2001,2001
Q26857888,Antonieta Rosa Gomes,2001,2001
,Malam Mané,2001,2001
Q26858532,Filomena Mascarenhas Tipote,2001,2002
,Joãozinho Vieira Có,2002,2003
Q22697132,Fatumata Djau Baldé,2003,2003
,João José Monteiro,2003,2004
Q7549853,Soares Sambú,2004,2005
Q4777565,António Isaac Monteiro,2005,2007
Q3291098,Maria da Conceição Nobre Cabral,2007,2009
Q58164,Adiato Djaló Nandigna,2009,2009
Q4681978,Adelino Mano Quetá,2009,2011
Q6745389,Mamadu Saliu Djaló Pires,2011,2012
Q142540,Faustino Imbali,2012,2013
,Fernando Delfim da Silva,2013,2014
,Mário Lopes da Rosa,2014,2015
,Rui Dia de Sousa,2015,2015
Q47527935,Artur Silva,2015,2016
Q7549853,Soares Sambú,2016,2016
,Jorge Malú,2016,2018
,João Ribeiro Butiam Có,2018,2019
Q43396447,Suzi Barbosa,2019,2020
,Aristides Ocante Da Silva,2019,2019
Q94695513,Ruth Monteiro,2020,2020
Q43396447,Suzi Barbosa,2020,
